,ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location,Index
1698,4.0,2244477.0,厦门市思明区西林社66-101,厦门思明王林家中医(综合)诊所,,668
1610,4.0,2230832.0,厦门市思明区西林社66号的店面之五,厦门思明王林中医（综合）诊所,"118.142757,24.475999",668
3730,5.0,2788611.0,厦门市思明区西林社66-101,厦门市思明区西林社66-101,,668
1616,4.0,2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元,厦门思明良德口腔门诊部,"118.174571,24.482325",669
1780,4.0,2241912.0,厦门市湖里区云顶北路842号市行政服务中心一楼,禾山街道（市行政服务中心）,,670
1618,4.0,2226464.0,厦门市湖里区云顶北路842号市行政服务中心1楼D区政务中心站及2楼夹层D13 ,市行政服务中心药房,"118.159552,24.514786",670
1621,4.0,2226880.0,厦门市湖里区云顶北路842号市行政服务中心一楼,禾山街道（市行政服务中心）,,670
1622,4.0,2230817.0,厦门市思明区前埔路188号302室,厦门思明普尔美至医疗美容诊所有限公司,"118.172893,24.478455",671
1624,4.0,2230508.0,厦门市思明区前埔路188号6层02单元之二,厦门思明普罗普姿尹成瑶医疗美容诊所,,671
1680,4.0,2240093.0,湖里区金山街道高林西里7-114-1号,湖里区金山街道高林西里7-114-1号,,672
9684,21.0,2230819.0,厦门市湖里区高林西里7-102单元,高林西里店,,672
1675,4.0,2244615.0,厦门市湖里区高林西里7-114-1号,厦门湖里桐恩堂中医门诊部有限公司,,672
9688,21.0,2236380.0,厦门市湖里区高林西里7号102单元,高林西里,,672
1623,4.0,2229815.0,厦门市湖里区高林西里7号102单元,高林西里分店,"118.173917,24.506833",672
1627,4.0,2230126.0,厦门市思明区洪莲路400号（一层）、402、402号之一（一层及跃层）,厦门思明美洁口腔门诊部有限公司,"118.162575,24.484329",673
1781,4.0,2241913.0,五缘西二里62号,禾山街道（五缘）,,674
1634,4.0,2227275.0,五缘西二里62号,五缘,,674
1628,4.0,2226806.0,厦门市湖里区五缘西二里62号,禾缘药房,"118.163605,24.536215",674
1630,4.0,2226702.0,厦门市思明区台东路158号05层07-08单元,13003916646,,675
1629,4.0,2228445.0,厦门市思明区台东路158号203、205室,厦门思明优梨口腔门诊部有限公司,"118.195992,24.489629",675
1633,4.0,2228942.0,厦门市思明区莲前西路687-5号,厦门思明康美世界医疗美容诊所有限公司,"118.14597,24.477708",676
1677,4.0,2243549.0,厦门市思明区台南路59号116单元、117单元，67号201单元，301单元,（燕来福）厦门思明医承医疗美容门诊部有限公司,,677
1635,4.0,2228682.0,厦门市思明区台南路59号116单元、117单元，67号201单元，301单元,厦门思明医承医疗美容门诊部有限公司,"118.191228,24.485033",677
1655,4.0,2243579.0,厦门市思明区台南路59号116单元、117单元，67号201单元，301单元,厦门思明医承医疗美容门诊部有限公司,,677
1649,4.0,2237090.0,厦门市思明区吕岭路1384号之一（二层、三层）,厦门思明世纪优典口腔门诊部,"118.17138,24.484059",678
1652,4.0,2236581.0,厦门市湖里区金山中路501号 弘爱妇产门诊4楼静配中心,妇产医院静配中心,"118.097307,24.471867",679
1653,4.0,2236166.0,厦门市湖里区金山中路501号负一药库,厦门弘爱妇产医院,"118.171664,24.505393",680
1686,4.0,2242766.0,厦门市湖里区金山中路501号一层104室,厦门弘爱大药房有限公司金山中路分公司,,680
1673,4.0,2243754.0,厦门市湖里区金山中路501号,厦门弘爱妇产医院有限公司,,680
1717,4.0,2242489.0,厦门市湖里区金山中路501号一层104室,厦门市湖里区金山中路501号一层104室,,680
1728,4.0,2241225.0,厦门市湖里区金山中路501号一层104室,厦门弘爱大药房有限公司金山中路分公司,,680
1681,4.0,2243278.0,厦门市湖里区金山中路501号一层104室,（燕来福）厦门弘爱大药房有限公司金山中路分公司,,680
1663,4.0,2243014.0,厦门市湖里区金山中路501号一层104室,厦门弘爱大药房有限公司金山中路分公司,,680
1657,4.0,2243662.0,厦门市思明区莲前西路724-101号,厦门思明瑞恩整形外科门诊部有限公司,"118.122025,24.477215",681
1674,4.0,2240462.0,厦门市思明区莲前西路724—105号,厦门思明燊丰口腔门诊部,,681
1659,4.0,2242694.0,厦门市思明区莲前西路716号,厦门思明奈尔思口腔门诊部有限公司,,681
1660,4.0,2243740.0,厦门市湖里区高林一里65号103室,高林一里分店,"118.18739,24.506174",682
1662,4.0,2244708.0,厦门市思明区莲前东路889-104号,（燕来福）厦门众信堂大药房有限公司,"118.17133,24.47244",683
1664,4.0,2239681.0,湖里区金山街道五缘湾木浦路103号、编号B1层01-02、03B商铺、04商铺、05A-06A商铺、07商铺、1层06-16商铺,厦门市慈铭健康管理有限公司湖里门诊部,"118.186576,24.530119",684
1666,4.0,2244954.0,福建省厦门市湖里区安岭二路86号410室,厦门颐澜商贸有限公司,"118.161141,24.525083",685
1667,4.0,2237497.0,厦门市思明区吕岭路1599号607室,厦门美思理医疗美容有限公司思明医疗美容诊所,"118.170771,24.485331",686
1668,4.0,2243658.0,厦门市思明区洪莲中路42号店面,洪莲中路分店,"118.155416,24.480011",687
1670,4.0,2238262.0,厦门市湖里区枋钟路2366号金山财富大厦503室,厦门市湖里区枋钟路2366号金山财富大厦503室,"118.153761,24.536935",688
1671,4.0,2238274.0,厦门市湖里区仙岳路4688号国贸中心2801单元,厦门市湖里区仙岳路4688号国贸中心2801单元,"118.180775,24.50742",689
1817,4.0,2246577.0,厦门市思明区前埔东路563-107号,厦门市思明区前埔东路563-107号,,690
1676,4.0,2244699.0,厦门市思明区前埔东路563-107号,厦门妙灵大药房有限公司,"118.177266,24.476848",690
1679,4.0,2239795.0,厦门市思明区前埔中路281号,厦门思明阳阳口腔诊所,"118.173573,24.475215",691
1683,4.0,2244680.0,厦门市思明区洪文六里126号一层及夹层,厦门思明傅洋口腔诊所有限公司,"118.16329,24.47396",692
1836,4.0,2923137.0,厦门市思明区莲前东路668号,厦门药之道大药房有限公司,,693
1684,4.0,2239752.0,厦门市思明区莲前东路668号,厦门市思明区莲前东路668号,"118.163951,24.474476",693
1687,4.0,2244270.0,厦门市湖里区金益五里3-107号,厦门湖里伯伢口腔诊所,"118.173378,24.5041",694
1688,4.0,2238791.0,厦门市湖里区仙岳路4672号147室,厦门市湖里区仙岳路4672号147室,"118.178553,24.504901",695
1692,4.0,2239001.0,厦门市思明区塔埔社半屏山路1318号和1320号店面,厦门市思明区塔埔社半屏山路1318号和1320号店面,"118.193065,24.497238",696
1699,4.0,2244624.0,厦门市湖里区观日西路25号,厦门莲聚宝药业有限公司,,697
1694,4.0,2238887.0,厦门市湖里区观日西路25号,厦门市湖里区观日西路25号,"118.170318,24.493089",697
1702,4.0,2239031.0,厦门市思明区前埔中路9-109号,厦门市思明区前埔中路9-109号,"118.168734,24.477868",698
1741,4.0,2244311.0,厦门市思明区前埔中路9-109号,厦门市健福堂药房有限公司,,698
1704,4.0,2239045.0,厦门市思明区潘宅路18-103号,厦门市思明区潘宅路18-103号,"118.161904,24.476765",699
1709,4.0,2239078.0,厦门市思明区会展南六路16号,厦门市思明区会展南六路16号,"118.179187,24.463314",700
1714,4.0,2239083.0,厦门市思明区会展南路410号,厦门市思明区会展南路410号,"118.183059,24.464001",701
1720,4.0,2238554.0,湖里区禾山街道五缘西一里53号108单元,湖里区禾山街道五缘西一里53号108单元,"118.165926,24.538656",702
1727,4.0,2238574.0,湖里区金山街道五通社区坂美社6号,湖里区金山街道五通社区坂美社6号,"118.183856,24.52033",703
1729,4.0,2243134.0,厦门市思明区宜兰路99号3005室,厦门思明瑞生内科诊所有限公司,"118.195613,24.495363",704
1730,4.0,2239136.0,厦门市湖里区五通一里67号、68-1号、68-2号,厦门市湖里区五通一里67号、68-1号、68-2号,"118.192139,24.508165",705
1732,4.0,2238621.0,思明区西林村11号店面,思明区西林村11号店面,"118.144489,24.476772",706
1736,4.0,2238626.0,厦门市思明区岭兜一里28号,厦门市思明区岭兜一里28号,"118.177498,24.475799",707
1738,4.0,2238630.0,厦门市思明区西林社66号店面之五,厦门市思明区西林社66号店面之五,"118.14291,24.476681",708
1740,4.0,2238917.0,厦门市思明区洪文七里15号之103、104、105,厦门市思明区洪文七里15号之103、104、105,"118.158418,24.472952",709
1745,4.0,2242145.0,厦门市思明区南投路1号1301单元,大成工程建设集团有限公司,"118.194878,24.487602",710
1752,4.0,2242230.0,厦门市思明区洪莲路17 -119号,厦门草济堂医药有限公司洪莲分店,"118.160164,24.477454",711
1765,4.0,2239602.0,厦门市思明区前埔社区前村102-103号,厦门市顺安堂药业有限公司,,712
1755,4.0,2241645.0,厦门市思明区前埔社区前村102-103号,（燕来福）厦门市顺安堂药业有限公司,"118.176071,24.471782",712
9398,6.0,2238562.0,湖里区禾山街道穆厝路7号131单元,湖里区禾山街道穆厝路7号131单元,,713
9275,6.0,1913749.0,湖里区禾山街道穆厝路7号131单元,厦门湖里青松西医内科诊所,,713
1757,4.0,2238722.0,湖里区禾山街道穆厝路7号131单元,湖里区禾山街道穆厝路7号131单元,"118.160339,24.51365",713
1759,4.0,2238811.0,厦门市湖里区金钟路5-127号、5-128号,厦门市湖里区金钟路5-127号、5-128号,"118.17892,24.503",714
1760,4.0,2239120.0,厦门市湖里区墩岭路墩岭一里6号一楼店面之一,厦门市湖里区墩岭路墩岭一里6号一楼店面之一,"118.162214,24.534275",715
1833,4.0,2855480.0,厦门市湖里区墩岭路墩岭一里6号一楼店面之一,厦门市衍康药业有限公司,,715
1761,4.0,2239384.0,厦门市思明区洪莲中路53-1号,厦门市思明区洪莲中路53-1号,"118.154568,24.480184",716
1821,4.0,2356306.0,厦门市思明区洪莲中路53-1号,厦门宏芝堂药业有限公司,,716
1763,4.0,2238839.0,厦门市湖里区钟岭路68号瑞丰里商场一层15号店面之一,厦门市湖里区钟岭路68号瑞丰里商场一层15号店面之一,"118.161092,24.531713",717
3668,5.0,2243661.0,厦门市湖里区金山西三里144-10号、144-11号,厦门市湖里区金山西三里144-10号、144-11号,,718
1764,4.0,2238992.0,厦门市湖里区金山西三里144-10号、144-11号,厦门市湖里区金山西三里144-10号、144-11号,"118.151438,24.501266",718
1770,4.0,2239162.0,厦门市湖里区钟宅社二路198号店面,厦门市湖里区钟宅社二路198号店面,"118.167524,24.524674",719
1771,4.0,2239170.0,厦门市湖里区钟宅西二里2号101及102室,厦门市湖里区钟宅西二里2号101及102室,"118.163742,24.519324",720
1820,4.0,2330497.0,厦门市湖里区观日西二里23-116号之一，23-117号之一,厦门奕园堂药业有限公司,,721
1772,4.0,2239171.0,厦门市湖里区观日西二里23-116号之一、23-117之一,厦门市湖里区观日西二里23-116号之一、23-117之一,"118.139735,24.475415",721
1854,4.0,3050010.0,厦门市湖里区观日西二里23-116号，23-117号,厦门依楠大药房有限公司,,721
1856,4.0,3016734.0,厦门市湖里区观日西二里23-116号、23-117号,厦门市湖里区观日西二里23-116号、23-117号,,721
1773,4.0,2239189.0,厦门市湖里区钟宅社3014号店面,厦门市湖里区钟宅社3014号店面,"118.16558,24.525053",722
9147,6.0,59454.0,厦门市湖里区钟宅社7010号一楼,药店,,722
9359,6.0,2238955.0,厦门市湖里区禾山街道钟宅社7079号1楼店面,厦门市湖里区禾山街道钟宅社7079号1楼店面,,722
9277,6.0,2157706.0,湖里区禾山街道钟宅社7032号,厦门湖里君华西医内科诊所,,722
1776,4.0,2242318.0,厦门市软件园二期观日路30号302单元,燕来福,"118.182556,24.485157",723
1778,4.0,2239203.0,厦门市思明区前埔社区前埔35号,厦门市思明区前埔社区前埔35号,"118.175506,24.469957",724
1783,4.0,2241918.0,厦门市思明区前埔东路586-3商场二楼,（燕来福）厦门思明诚德堂门诊部,"118.179128,24.47964",725
1786,4.0,2239459.0,厦门市湖里区钟宅二里41-6号,厦门市湖里区钟宅二里41-6号,"118.163844,24.51967",726
1860,4.0,3190306.0,湖里区禾山街道钟宅二里33-11号,厦门湖里春霖西医内科诊所,,726
1794,4.0,2239260.0,厦门市湖里区店里社41号之一,厦门市湖里区店里社41号之一,"118.18722,24.515184",727
4815,7.0,51427.0,湖里区湖里街道海天路65号B1之一及B2商场,燕来福,,728
1800,4.0,2242442.0,湖里区湖里街道海天路65号B1之一及B2商场,厦门湖里君善堂海天门诊部（股份厦门）,"118.10064,24.50477",728
4861,7.0,263862.0,湖里区湖里街道海天路65号B1之一及B2商场,燕来福（厦门湖里君善堂海天门诊部）,,728
4832,7.0,48032.0,湖里区湖里街道海天路65号B1之一及B2商场,海峡两岸,,728
1804,4.0,2238234.0,厦门市湖里区湖里安岭路999、1001号213室214室,厦门市湖里区湖里安岭路999、1001号213室214室,"118.16157,24.529739",729
9352,6.0,2240591.0,湖里区禾山街道县后社237号102,厦门湖里黄奎西医内科诊所,,730
1806,4.0,2238551.0,湖里区禾山街道县后社237号102,湖里区禾山街道县后社237号102,"118.1535,24.525496",730
1809,4.0,2238558.0,湖里区禾山街道安岭路墩上小区17梯102,湖里区禾山街道安岭路墩上小区17梯102,"118.16061,24.535052",731
1810,4.0,2238695.0,湖里区金山街道金山西里10号之26,湖里区金山街道金山西里10号之26,"118.155705,24.50124",732
9303,6.0,2207686.0,厦门市湖里区金山西里10号之26,中西医结合诊所,,732
9194,6.0,395945.0,湖里区金山街道金山西里10号之26,厦门湖里跃华中西医结合诊所（股份厦门）,,732
1811,4.0,2241075.0,厦门市湖里区泥金北路1号4楼405单元,厦门骏臻商贸有限公司,"118.190626,24.508156",733
1816,4.0,2530201.0,福建省厦门市思明区厦门市湖里区观日西二里23-116号之一、23-117号之一,福建省厦门市思明区厦门市湖里区观日西二里23-116号之一、23-117号之一,"118.145227,24.528586",734
1824,4.0,2367372.0,厦门市思明区会展南路七号165号一层之一、二层、167号二层、169号二层、171号二层,厦门思明和生元中医门诊部有限公司,"118.181906,24.464475",735
1825,4.0,2399266.0,厦门市思明区莲前街道前埔西路162号,厦门市思明区李建口腔诊所,"118.165451,24.473194",736
1826,4.0,2246652.0,厦门市思明区会展南里124号、125号,厦门思明悦采医疗美容诊所,"118.18004,24.461454",737
1832,4.0,2953892.0,厦门市思明区前埔社区前村679-103,厦门市思明区前埔社区前村679-103,"118.176237,24.472192",738
1834,4.0,2826118.0,厦门市思明区潘宅路72号（一层及夹层）,厦门市思明区潘宅路72号（一层及夹层）,"118.164146,24.476526",739
1837,4.0,2744042.0,厦门市思明区前埔社区前埔247-102,厦门市思明区前埔社区前埔247-102,"118.178763,24.468201",740
1840,4.0,2842127.0,厦门市湖里区日圆二里3号817室,（燕来福）厦门湖里魁芝堂中医诊所有限公司,"118.161217,24.514741",741
1841,4.0,2842176.0,厦门市湖里区日圆二里3号817室,厦门湖里魁芝堂中医诊所有限公司,,741
1842,4.0,2551577.0,福建省厦门市湖里区金湖路668号,福建省厦门市湖里区金湖路668号,"118.164004,24.512311",742
1843,4.0,3321888.0,湖里区后坑村后坑社282号,湖里区后坑村后坑社282号,"118.153815,24.496983",743
1844,4.0,3382908.0,福建省厦门市湖里区厦门市湖里区629号翔安商务大厦1607号,福建省厦门市湖里区厦门市湖里区629号翔安商务大厦1607号,"118.187652,24.529046",744
1847,4.0,3117742.0,福建省厦门市思明区会展路2013号,中国人民武装警察部队厦门支队卫生队,"118.185043,24.478178",745
1855,4.0,3037887.0,厦门市思明区会展路39号一层,厦门市思明区会展路39号一层,"118.179156,24.466692",746
1857,4.0,3243128.0,厦门市思明区会展南七路45号,厦门思明苏超群中医(综合)诊所,"118.179546,24.462449",747
1861,4.0,3197336.0,湖里区禾山街道护安路652号201室之八,厦门湖里妍美辰医疗美容诊所,"118.15549,24.52943",748
1862,2.0,360.0,厦门市思明区角滨路15号101-103单元（一层及夹层）,厦门思明厦禾门诊部,"118.081718,24.462011",749
2129,2.0,30236.0,厦门市思明区故宫路99号之5,厦门思明汇聚丰第二门诊部有限公司,,750
1863,2.0,369.0,厦门市思明区故宫路99号之5,厦门思明汇聚丰第二门诊部（股份厦门）,"118.083154,24.463154",750
2018,2.0,3421.0,湖滨中路86号,厦门思明友好妇科专科门诊部,,751
1864,2.0,372.0,湖滨中路86号,厦门思明友好妇科专科门诊部,"118.101862,24.470468",751
1865,2.0,381.0,开禾路48号之一,厦门思明志扬诊所,"118.07491,24.45804",752
2019,2.0,3433.0,开禾路48号之一,厦门思明志扬诊所,,752
1866,2.0,383.0,厦门思明区思明北路112号、108号,厦门思明庄玲内科诊所,"118.079609,24.458424",753
2485,2.0,2240826.0,思明区思明北路112号、108号,思明区思明北路112号、108号,,753
2020,2.0,3435.0,厦门思明区思明北路112号、108号,厦门思明庄玲内科诊所,,753
2287,2.0,700614.0,思明区思明北路112号，108号,药库,,753
2230,2.0,34930.0,厦门市思明区厦禾路336号沿街店面1楼,华厦眼科医院集团股份有限公司药店,,754
1953,2.0,2325.0,厦门市思明区厦禾路336号,眼科中心2楼门诊药房,,754
1954,2.0,2326.0,厦门市思明区厦禾路336号,眼科中心5楼住院药房,,754
1955,2.0,2327.0,福建厦门厦禾路336号仓库 ,厦门眼科中心 仓库,,754
2075,2.0,19677.0,福建厦门厦禾路336号,设备科,,754
1963,2.0,1786.0,"福建厦门厦禾路336号检验科

",厦门大学附属眼科中心 检验科 ,,754
1916,2.0,1039.0,厦门市思明区厦禾路336号沿街店面1楼东侧,眼科药店,,754
1957,2.0,2329.0,"福建厦门厦禾路336号检验科

",厦门大学附属眼科中心 检验科 ,,754
1956,2.0,2328.0,福建厦门厦禾路336号3号楼4楼供应室,厦门眼科中心一楼 供应室 ,,754
2127,2.0,31604.0,福建厦门厦禾路336号,设备科,,754
2475,2.0,2241945.0,厦门市思明区厦禾路336号沿街店面1楼,燕来福（华厦眼科医院集团股份有限公司药店）,,754
2128,2.0,31605.0,福建厦门厦禾路336号,厦门大学附属眼科中心一楼 资产部,,754
2443,2.0,2241497.0,厦门市思明区厦禾路336号1号楼5楼,（燕来福）厦门眼科中心有限公司,,754
1962,2.0,1785.0,福建厦门厦禾路336号一楼供应室 ,厦门大学附属眼科中心一楼 供应室 ,,754
2194,2.0,43360.0,福建厦门厦禾路336号,厦门大学附属眼科中心一楼 资产部,,754
1883,2.0,541.0,厦门市思明区厦禾路336号,眼科中心5楼住院药房,,754
2237,2.0,36427.0,厦门市思明区厦禾路336号沿街店面1楼,海峡两岸,,754
2291,2.0,700805.0,厦门市思明区厦禾路336号,(海峡两岸)厦门大学附属厦门眼科中心,,754
2200,2.0,47187.0,厦门市思明区厦禾路336号,海峡两岸,,754
2290,2.0,700804.0,厦门市思明区厦禾路336号,（燕来福）厦门大学附属厦门眼科中心,,754
2024,2.0,3468.0,厦门市思明区厦禾路336号沿街店面1楼,眼科药店,,754
2076,2.0,30110.0,福建厦门厦禾路336号,厦门大学附属眼科中心一楼 资产部,,754
1882,2.0,540.0,厦门市思明区厦禾路336号,眼科中心2楼门诊药房,,754
2039,2.0,3562.0,厦门市思明区厦禾路336号二楼大厅左侧,厦门眼科中心集团有限公司厦禾路药店,,754
2383,2.0,2206090.0,厦门市思明区厦禾路336号,科室用药（厦禾路）,,754
2456,2.0,2238393.0,厦门市开元厦禾路336号、厦门市湖里区五通西路989号,厦门市开元厦禾路336号、厦门市湖里区五通西路989号,,754
2256,2.0,263491.0,厦门市思明区厦禾路336号,（燕来福）厦门大学附属厦门眼科中心,,754
2187,2.0,43353.0,厦门市思明区厦禾路336号,眼科中心2楼门诊药房,,754
2163,2.0,31912.0,厦门市思明区厦禾路336号沿街店面1楼,燕来福,,754
2188,2.0,43354.0,厦门市思明区厦禾路336号,眼科中心5楼住院药房,,754
2189,2.0,43355.0,福建厦门厦禾路336号,设备科,,754
2240,2.0,388113.0,厦门市思明区厦禾路336号,1号楼12楼手术室,,754
2191,2.0,43357.0,福建厦门厦禾路336号一楼供应室 ,厦门大学附属眼科中心一楼 供应室 ,,754
2253,2.0,263668.0,厦门市思明区厦禾路336号沿街店面1楼,燕来福（华厦眼科医院集团股份有限公司药店）,,754
2193,2.0,43359.0,福建厦门厦禾路336号仓库 ,眼科中心4楼仓库,,754
1868,2.0,425.0,厦门市思明区厦禾路336号二楼大厅左侧,厦门眼科中心集团有限公司厦禾路药店,"118.080793,24.460058",754
2049,2.0,4944.0,福建厦门厦禾路336号仓库 ,眼科中心4楼仓库,,754
2048,2.0,4943.0,福建厦门厦禾路336号仓库 ,眼科中心4楼仓库,,754
2192,2.0,43358.0,"福建厦门厦禾路336号检验科

",厦门大学附属眼科中心 检验科 ,,754
1923,2.0,1784.0,福建厦门厦禾路336号仓库 ,"厦门大学附属眼科中心
仓库
",,754
2249,2.0,275537.0,厦门市思明区厦禾路336号 2楼采购部,厦门大学附属眼科中心2楼 采购部 ,,754
2190,2.0,43356.0,福建厦门厦禾路336号仓库 ,"厦门大学附属眼科中心
仓库
",,754
2241,2.0,388114.0,厦门市思明区厦禾路336号,2号楼8楼手术室,,754
2399,2.0,2229773.0,厦门市思明区厦禾路336号1号楼5楼,厦门眼科中心医院有限公司2,,754
2235,2.0,41493.0,厦门市思明区白鹭洲路67、69、71号一层及一层夹层,厦门思明兰的整形外科门诊部有限公司（股份厦门）,,755
1869,2.0,441.0,思明区白鹭州路74、76号,福建惠好四海医药连锁有限责任公司厦门白鹭洲分店,"118.091663,24.47112",755
1943,2.0,2186.0,思明区白鹭州路74、76号,福建惠好四海医药连锁有限责任公司厦门白鹭洲分店,,755
1974,2.0,2920.0,思明区故宫路102号,厦门市思明区计划生育服务站,,756
1870,2.0,35.0,思明区故宫路102号,厦门市思明区计划生育服务站,"118.083815,24.462115",756
1975,2.0,2921.0,厦门思明区故宫路102号,思明区计划生育服务站,,756
2210,2.0,37491.0,故宫路102号,思明区计生服务站,,756
1966,2.0,1823.0,厦门思明区故宫路102号,思明区计划生育服务站,,756
2211,2.0,39294.0,思明区故宫路102号(开元),思明区计划生育服务站,,756
2205,2.0,37292.0,思明区故宫路102号(开元),思明区计划生育服务站,,756
2297,2.0,700995.0,故宫路102号,思明区计生服务站,,756
2503,2.0,2563285.0,厦门市湖里区金鼎里25号,厦门市湖里区金鼎里25号,,757
2493,2.0,2239341.0,厦门市湖里区金鼎里25号,厦门市湖里区金鼎里25号,,757
1871,2.0,183.0,厦门市湖里区金鼎里25号,厦门市本草阁药业有限公司,"118.082069,24.487159",757
1968,2.0,2646.0,厦门市湖里区金鼎里25号,厦门市湖里区本草阁药店,,757
2459,2.0,2241596.0,厦门市湖里区金鼎里25号,（燕来福）厦门市湖里区本草阁药店,,757
2231,2.0,47288.0,厦门市湖里区金鼎里25号,厦门市湖里区本草阁药店.,,757
2296,2.0,700945.0,厦门市湖里区金鼎里25号,厦门市湖里区本草阁药店.,,757
1873,2.0,250.0,湖里区东渡路61号振华大厦12号,厦门市湖里区欣康达药房,"118.078948,24.48295",758
1969,2.0,2718.0,湖里区东渡路61号振华大厦12号,厦门市湖里区欣康达药房,,758
1970,2.0,2727.0,湖里区东渡路78号之一、二,厦门市湖里区益元堂大药房,,759
1971,2.0,2728.0,"厦门东渡路78号之二
","湖里区益元堂大药房
",,759
2467,2.0,2239204.0,厦门市湖里区东渡路78号之一、之二,厦门市湖里区东渡路78号之一、之二,,759
1874,2.0,259.0,厦门市湖里区东渡路78号之一、之二,厦门市湖里区益元堂大药房,"118.08022,24.484738",759
1940,2.0,1911.0,"厦门东渡路78号之二
","湖里区益元堂大药房
",,759
1878,2.0,533.0,思明区厦禾路509号2楼,厦工服务有限公司(卫生所),"118.089964,24.462923",760
2616,1.0,2316.0,思明区厦禾路509号2楼,厦工服务有限公司(卫生所),,760
1879,2.0,534.0,厦门市思明区湖滨南路117-119号,安宝医院药房,"118.094721,24.470405",761
1941,2.0,2047.0,厦门市思明区湖滨南路117-119号,安宝医院仓库,,761
1948,2.0,2317.0,厦门市思明区湖滨南路117-119号,安宝医院药房,,761
1949,2.0,2318.0,厦门市思明区湖滨南路117-119号,安宝医院仓库,,761
1880,2.0,538.0,湖里街道东渡路金鼎巷2号之一,厦门出入境检验检疫局,"118.082419,24.487314",762
1950,2.0,2322.0,湖里街道东渡路金鼎巷2号之一,厦门出入境检验检疫局,,762
2130,2.0,33785.0,厦门市思明区厦禾路100号,(燕来福)厦门大学附属第一医院鹭江分部门诊,,763
2270,2.0,395800.0,思明区厦禾路100号,厦门大学附属第一医院（鹭江分部门诊）,,763
1881,2.0,539.0,厦门市思明区厦禾路100号,厦门大学附属第一医院鹭江分部门诊,"118.074317,24.46018",763
2126,2.0,31603.0,厦门市思明区厦禾路100号,燕来福,,763
2111,2.0,33895.0,厦门市思明区厦禾路100号,"厦门大学附属第一医院（鹭江分部）
",,763
2110,2.0,33894.0,厦门市思明区厦禾路100号,厦门大学附属第一医院鹭江分部门诊,,763
2131,2.0,33786.0,厦门市思明区厦禾路100号,厦门大学附属第一医院鹭江分部门诊,,763
2123,2.0,32651.0,厦门市思明区厦禾路100号,海峡两岸,,763
2453,2.0,2241560.0,思明区厦禾路100号,（燕来福）厦门大学附属第一医院鹭江分部门诊,,763
2276,2.0,395797.0,厦门市思明区厦禾路100号,（两岸公司）厦门大学附属第一医院鹭江分部门诊,,763
2289,2.0,700803.0,厦门市思明区厦禾路100号,(海峡两岸)厦门大学附属第一医院鹭江分部门诊,,763
1951,2.0,2323.0,厦门市思明区厦禾路100号,厦门大学附属第一医院鹭江分部门诊,,763
1952,2.0,2324.0,厦门市思明区厦禾路100号,"厦门大学附属第一医院（鹭江分部）
",,763
1925,2.0,1900.0,厦门市思明区厦禾路100号,"厦门大学附属第一医院（鹭江分部）
",,763
2288,2.0,700802.0,厦门市思明区厦禾路100号,(燕来福)厦门大学附属第一医院鹭江分部门诊,,763
2442,2.0,2241496.0,厦门市思明区厦禾路100号,(燕来福)厦门大学附属第一医院鹭江分部门诊,,763
1989,2.0,2334.0,厦门市思明区湖滨南路201-209号,水粉库,,764
2139,2.0,34254.0,厦门市思明区湖滨南路201-209号,中山医院制剂室,,764
2142,2.0,34322.0,厦门市思明区湖滨南路201-209号,中山医院3号楼5楼血透室,,764
2224,2.0,36811.0,厦门市思明区湖滨南路201-209号,中山医院1号楼4楼核医学科,,764
7517,9.0,1450846.0,厦门市思明区湖滨南路201-209号8楼检验科,旧院检验科,,764
1958,2.0,2330.0,厦门市思明区湖滨南路201-209号,急诊药房,,764
1959,2.0,2332.0,厦门市思明区湖滨南路201-209号,门诊药房,,764
2207,2.0,37772.0,厦门市思明区湖滨南路201-209号,中山医院1号楼1楼放射科,,764
2269,2.0,392977.0,厦门市思明区湖滨南路201-209号,急诊ICU,,764
1885,2.0,544.0,厦门市思明区湖滨南路201-209号,中山医院门诊药房,,764
1886,2.0,545.0,厦门市思明区湖滨南路201-209号,中山医院输液库,,764
1887,2.0,546.0,厦门市思明区湖滨南路201-209号,中山医院水粉库,,764
1889,2.0,548.0,厦门市思明区湖滨南路201-209号,中山医院药库,,764
1891,2.0,550.0,厦门市思明区湖滨南路201-209号,中山医院中心药房,,764
1884,2.0,542.0,厦门市思明区湖滨南路201-209号,中山医院急诊药房,"118.097381,24.47093",764
1993,2.0,2338.0,厦门市思明区湖滨南路201-209号,中心药房,,764
2196,2.0,61375.0,厦门市思明区湖滨南路201-209号,中山医院急诊ICU,,764
2173,2.0,33491.0,厦门市思明区湖滨南路201-209号,中山医院3号楼5楼血透室,,764
2138,2.0,34253.0,厦门市思明区湖滨南路201-209号,中山医院药库,,764
1992,2.0,2337.0,厦门市思明区湖滨南路201-209号,制剂室,,764
2140,2.0,34255.0,厦门市思明区湖滨南路201-209号,中山医院中心药房,,764
1991,2.0,2336.0,厦门市思明区湖滨南路201-209号,药库,,764
1890,2.0,549.0,厦门市思明区湖滨南路201-209号,中山医院制剂室,,764
2259,2.0,396059.0,厦门市思明区湖滨南路201-209号,中山医院3号楼8楼肾内科,,764
2117,2.0,23019.0,厦门市思明区湖滨南路201-209号,中山医院门诊药房,,764
